10.02.25 10:00 - 10:30 Uhr | 11:00 - 11:30 Uhr
07.02.25 14:00 - 14:30 Uhr | 15:00 - 15:30 Uhr
04.02.25 11:00 - 11:30 Uhr | 12:00 - 12:30 Uhr
31.01.25 15:00 - 15:30 Uhr | 16:00 - 16:30 Uhr
28.01.25 10:00 - 10:30 Uhr | 11:00 - 11:30 Uhr
25.01.25 14:30 - 15:00 Uhr | 15:30 - 16:00 Uhr
22.01.25 11:30 - 12:00 Uhr | 12:30 - 13:00 Uhr
19.01.25 15:00 - 15:30 Uhr | 16:00 - 16:30 Uhr
16.01.25 10:30 - 11:00 Uhr | 11:30 - 12:00 Uhr
13.01.25 14:00 - 14:30 Uhr | 15:00 - 15:30 Uhr
10.01.25 11:00 - 11:30 Uhr | 12:00 - 12:30 Uhr
07.01.25 15:30 - 16:00 Uhr | 16:30 - 17:00 Uhr
03.01.25 10:00 - 10:30 Uhr | 11:00 - 11:30 Uhr
31.12.24 14:00 - 14:30 Uhr | 15:00 - 15:30 Uhr
27.12.24 11:30 - 12:00 Uhr | 12:30 - 13:00 Uhr
23.12.24 15:00 - 15:30 Uhr | 16:00 - 16:30 Uhr
20.12.24 10:00 - 10:30 Uhr | 11:00 - 11:30 Uhr
17.12.24 14:30 - 15:00 Uhr | 15:30 - 16:00 Uhr
13.12.24 11:00 - 11:30 Uhr | 12:00 - 12:30 Uhr
10.12.24 15:00 - 15:30 Uhr | 16:00 - 16:30 Uhr
06.12.24 10:30 - 11:00 Uhr | 11:30 - 12:00 Uhr
02.12.24 14:00 - 14:30 Uhr | 15:00 - 15:30 Uhr
29.11.24 11:00 - 11:30 Uhr | 12:00 - 12:30 Uhr
26.11.24 15:30 - 16:00 Uhr | 16:30 - 17:00 Uhr
22.11.24 10:00 - 10:30 Uhr | 11:00 - 11:30 Uhr
19.11.24 14:00 - 14:30 Uhr | 15:00 - 15:30 Uhr
15.11.24 11:30 - 12:00 Uhr | 12:30 - 13:00 Uhr
12.11.24 15:00 - 15:30 Uhr | 16:00 - 16:30 Uhr
08.11.24 10:00 - 10:30 Uhr | 11:00 - 11:30 Uhr
05.11.24 14:30 - 15:00 Uhr | 15:30 - 16:00 Uhr
